topic_id,domain,term0,term1,term2,term3,term4,        term5,term6,term7,term8,term9
0,blogs,vmware,server,virtual,oracle,update,virtualization,application,infrastructure,management,microsoft
1,blogs,obama,mccain,campaign,john,barack,president,senator,candidate,convention,clinton
2,blogs,file,windows,software,server,version,install,user,microsoft,application,support
3,blogs,drive,computer,card,laptop,memory,battery,usb,intel,processor,hard
4,blogs,game,play,video,xbox,360,wii,gaming,player,release,nintendo
5,blogs,vote,house,election,poll,bill,republican,party,voter,candidate,senate
6,blogs,health,patient,medical,doctor,hospital,disease,cancer,care,drug,study
7,blogs,food,eat,cook,chicken,recipe,cup,cheese,add,taste,tomato
8,blogs,god,church,jesus,christian,faith,lord,christ,catholic,give,prayer
9,blogs,china,chinese,olympics,gold,olympic,team,win,beijing,medal,sport
10,blogs,palin,sarah,mccain,alaska,governor,president,republican,woman,john,vice
11,blogs,look,white,color,black,red,hair,blue,light,green,eye
12,blogs,financial,bank,market,government,mortgage,bailout,billion,street,wall,crisis
13,blogs,weight,body,fat,diet,food,health,eat,exercise,loss,healthy
14,blogs,car,power,vehicle,seat,rear,wheel,engine,drive,air,front
15,blogs,site,web,google,search,website,online,internet,social,content,user
16,blogs,oil,energy,gas,water,power,fuel,global,price,plant,natural
17,blogs,cell,gene,protein,function,study,elegan,expression,mutant,suggest,brain
18,blogs,phone,mobile,iphone,device,internet,service,google,app,read,source
19,blogs,music,song,band,album,play,sound,rock,track,guitar,listen
20,blogs,game,team,run,hit,season,win,baseball,sox,pitch,start
21,blogs,family,brother,die,sister,father,mother,dad,tell,son,wife
22,blogs,court,law,case,police,charge,legal,judge,crime,report,federal
23,blogs,size,shoe,bag,wear,pair,fit,foot,pocket,leather,weight
24,blogs,school,student,university,college,teacher,class,education,learn,high,program
25,blogs,game,team,season,play,football,player,win,week,fan,coach
26,blogs,san,francisco,diego,los,california,angeles,2006,2005,conference,october
27,blogs,store,sell,sale,item,buy,coffee,shop,price,box,gift
28,blogs,business,company,technology,product,customer,service,provide,management,development,system
29,blogs,military,force,war,army,soldier,gun,fire,air,guard,u.s.
30,blogs,room,bedroom,floor,apartment,kitchen,bath,call,large,include,center
31,blogs,million,price,percent,tax,market,increase,rate,number,report,average
32,blogs,dog,animal,tree,cat,bird,water,find,fish,lake,plant
33,blogs,john,james,david,paul,robert,michael,bear,george,william,richard
34,blogs,wear,baby,dress,wedding,look,love,clothes,girl,kid,need
35,blogs,child,woman,family,kid,parent,baby,mother,home,husband,young
36,blogs,book,read,write,story,author,writer,review,library,page,publish
37,blogs,love,look,want,friend,fun,thing,enjoy,think,girl,meet
38,blogs,apple,ipod,mac,pro,sep,touch,2008,ring,itune,phone
39,blogs,word,write,language,english,read,mean,speak,letter,call,learn
40,blogs,camera,digital,video,feature,system,image,screen,control,display,include
41,blogs,code,user,datum,string,create,object,database,type,set,function
42,blogs,iraq,war,government,attack,iran,country,american,president,bush,israel
43,blogs,night,week,home,sleep,hour,morning,today,feel,weekend,bed
44,blogs,earth,sun,space,light,clark,planet,wind,moon,ice,lex
45,iabooks,church,arch,wall,building,window,gothic,nave,side,vault,tower
46,iabooks,picture,portrait,paint,painter,figure,master,painting,gallery,raphael,titian
47,iabooks,plant,tree,fruit,grow,soil,foot,leaf,seed,root,flower
48,iabooks,god,church,christian,thing,word,christ,religion,divine,sin,sermon
49,iabooks,church,florence,pope,italy,rome,city,san,venice,chapel,giovanni
50,iabooks,art,artist,picture,painter,painting,paint,museum,drawing,study,colour
51,iabooks,child,labor,case,head,uterus,pregnancy,woman,pelvis,uterine,pain
52,iabooks,ship,naval,navy,war,fleet,vessel,officer,sea,gun,speed
53,iabooks,case,operation,patient,surgery,tumor,treatment,wound,hospital,disease,practice
54,iabooks,school,teacher,child,education,pupil,study,art,class,teach,student
55,iabooks,street,ave,west,york,st.,broadway,park,avenue,east,foot
56,iabooks,music,musical,part,opera,play,concert,sing,composer,song,beethoven
57,iabooks,house,room,wall,floor,plan,window,home,door,build,roof
58,iabooks,century,fig,plate,church,basilica,roman,christian,mosaic,byzantine,rome
59,iabooks,acid,solution,water,iron,copper,metal,silver,form,gold,liquid
60,iabooks,city,wall,place,ancient,statue,rome,palace,marble,temple,roman
61,iabooks,building,architecture,architect,design,architectural,house,plan,style,detail,palace
62,iabooks,inch,foot,weight,square,equal,length,beam,pressure,pound,area
63,iabooks,bone,tissue,form,muscle,part,cell,joint,side,surface,body
64,iabooks,chinese,japanese,ware,colour,china,porcelain,pottery,century,japan,piece
65,iabooks,san,los,california,city,angeles,arizona,mile,mexico,valley,land
66,iabooks,king,emperor,france,prince,duke,pope,french,german,louis,charles
67,iabooks,love,heart,thou,soul,woman,hear,thee,friend,tell,child
68,iabooks,island,ship,coast,river,captain,sea,boat,sail,land,company
69,iabooks,museum,vase,ornament,style,collection,figure,cyprus,paint,bronze,pottery
70,iabooks,water,foot,concrete,cement,construction,wall,air,heat,inch,stone
71,iabooks,spain,philip,spanish,cathedral,reign,madrid,san,juan,century,iv.
72,iabooks,mr.,mrs.,young,lady,look,friend,tell,mother,miss,father
73,iabooks,war,army,enemy,battle,force,general,attack,troops,march,line
74,iabooks,tree,garden,landscape,flower,plant,house,beautiful,place,country,beauty
75,iabooks,church,cathedral,century,english,bishop,england,chapel,style,abbey,early
76,iabooks,nature,mind,human,science,thought,truth,law,moral,power,natural
77,iabooks,portrait,lady,collection,sir,duke,queen,john,charles,head,william
78,iabooks,play,poet,story,character,theatre,stage,write,poetry,drama,poem
79,iabooks,water,air,experiment,wire,heat,produce,temperature,tube,mr.,electricity
80,iabooks,gun,steel,fire,speed,inch,boat,no.,engine,engineer,machine
81,iabooks,sun,star,object,light,earth,moon,distance,place,body,motion
82,iabooks,voice,word,sound,speech,art,note,tone,expression,syllable,form
83,news,party,campaign,candidate,political,mccain,election,vote,republican,democratic,voter
84,news,israel,peace,barak,israeli,minister,palestinian,agreement,prime,leader,palestinians
85,news,game,run,hit,pitch,season,dodgers,start,inning,innings,mets
86,news,health,drug,patient,doctor,medical,care,hospital,treatment,disease,dr.
87,news,stock,fund,market,investor,share,trading,firm,investment,exchange,bond
88,news,kosovo,war,nato,milosevic,albanian,serb,india,refugee,yugoslavia,force
89,news,food,wine,restaurant,eat,drink,bottle,beer,coffee,bar,ice
90,news,court,law,case,lawyer,judge,legal,lawsuit,decision,attorney,file
91,news,bill,house,senate,republican,vote,congress,committee,republicans,clinton,leader
92,news,art,museum,artist,show,painting,collection,exhibition,gallery,exhibit,york
93,news,sell,sale,store,buy,customer,company,business,price,product,consumer
94,news,game,team,play,season,yard,coach,quarterback,nfl,run,football
95,news,show,television,network,series,fox,cbs,nbc,watch,abc,station
96,news,car,vehicle,drive,ford,seat,driver,truck,road,engine,auto
97,news,plane,kennedy,flight,fly,pilot,airline,airport,air,search,passenger
98,news,bank,money,financial,economy,loan,market,business,dollar,account,banking
99,news,worker,job,union,employee,company,labor,pay,contract,benefit,employer
100,news,bush,campaign,texas,george,governor,candidate,presidential,republican,poll,iowa
101,news,coach,game,play,season,football,team,player,yard,quarterback,college
102,news,investigation,fbi,official,department,federal,agent,investigator,charge,attorney,evidence
103,news,farmer,farm,food,crop,grow,plant,field,agriculture,land,product
104,news,china,chinese,japan,taiwan,north,beijing,korea,japanese,government,official
105,news,cup,cook,minute,add,pepper,salt,serve,tablespoon,oil,sauce
106,news,cell,cancer,human,gene,test,mouse,scientist,brain,research,skin
107,news,baseball,league,game,player,season,team,home,hit,play,fan
108,news,golf,play,cup,ryder,woods,player,win,hole,club,team
109,news,game,sox,yankee,martinez,williams,red,ball,mariners,field,run
110,news,military,war,force,nuclear,u.s.,weapon,air,defense,army,security
111,news,game,play,season,team,player,cowboys,point,dallas,jones,coach
112,news,fish,animal,dog,boat,bird,sea,water,river,fishing,species
113,news,computer,internet,software,system,microsoft,technology,company,service,network,program
114,news,book,write,writer,story,read,author,publish,reader,editor,page
115,news,music,band,song,rock,record,album,play,show,pop,artist
116,news,tax,cut,money,billion,million,program,budget,pay,government,plan
117,news,race,smith,driver,car,win,nascar,cup,gordon,team,season
118,news,hurricane,storm,beach,north,florida,coast,wind,floyd,county,island
119,news,prison,crime,murder,police,death,charge,case,arrest,kill,county
120,news,government,political,country,leader,president,power,party,minister,democracy,protest
121,news,university,college,student,professor,umpire,school,harvard,graduate,president,campus
122,news,wear,fashion,look,dress,show,designer,woman,style,clothes,design
123,news,child,parent,kid,baby,young,adult,girl,age,care,home
124,news,family,home,father,mother,son,wife,friend,live,daughter,tell
125,news,house,room,wall,home,floor,door,wood,paint,window,place
126,news,fight,lewis,ray,bob,hoya,boxing,ring,king,vegas,champion
127,news,russia,russian,east,timor,moscow,indonesia,yeltsin,force,military,rebel
128,news,theater,play,music,opera,dance,ms.,festival,performance,york,director
129,news,team,sport,game,soccer,cup,play,player,woman,u.s.,goal
130,news,san,francisco,california,brown,bay,chronicle,area,business,valley,santa
131,news,phone,card,call,video,e-mail,number,check,mail,offer,device
132,news,school,student,education,teacher,high,program,test,class,board,district
133,news,film,movie,star,director,hollywood,actor,minute,direct,story,witch
134,news,space,moon,earth,nasa,mission,science,scientist,launch,collins,station
135,news,gun,police,shooting,kill,officer,shoot,violence,barton,law,fire
136,news,percent,rate,increase,price,rise,million,market,month,report,number
137,news,team,million,season,contract,deal,player,agent,sign,trade,play
138,news,water,plant,summer,heat,tree,air,garden,mountain,temperature,hot
139,news,company,business,executive,million,deal,billion,chief,inc.,share,market
140,news,race,win,horse,armstrong,ride,tour,track,rider,run,park
141,news,woman,ms.,sex,sexual,male,female,age,bill,begin,husband
142,news,city,street,town,area,park,building,kansas,build,county,resident
143,pubmed,artery,vascular,coronary,stent,vein,vessel,carotid,aortic,aneurysm,arterial
144,pubmed,cancer,breast,prostate,node,tumor,lymph,colorectal,lung,metastatic,patient
145,pubmed,lung,pulmonary,asthma,disease,intestinal,airway,chronic,bowel,inflammation,respiratory
146,pubmed,cell,response,immune,lymphocyte,antigen,cytokine,t-cell,induce,receptor,immunity
147,pubmed,kinase,pathway,signal,activation,protein,phosphorylation,cell,receptor,inhibitor,signaling
148,pubmed,liver,hepatic,resistance,hepatocyte,bile,disease,fibrosis,biliary,cirrhosis,portal
149,pubmed,infection,virus,viral,hiv,hepatitis,tuberculosis,parasite,hiv-1,host,hcv
150,pubmed,hormone,thyroid,level,growth,receptor,estrogen,effect,gland,cortisol,testosterone
151,pubmed,receptor,neuron,antagonist,neuronal,agonist,brain,effect,synaptic,dopamine,increase
152,pubmed,virus,vaccine,influenza,infection,vaccination,pig,human,hpv,disease,antibody
153,pubmed,disease,patient,schizophrenia,dementia,alzheimer,sclerosis,multiple,parkinson,brain,cognitive
154,pubmed,renal,kidney,hypertension,pressure,blood,function,disease,urinary,chronic,dialysis
155,pubmed,infection,antibiotic,isolate,aureus,pneumonia,resistance,staphylococcus,antimicrobial,culture,susceptibility
156,pubmed,diabetes,glucose,insulin,type,diabetic,cholesterol,level,lipoprotein,control,lipid
157,pubmed,expression,endothelial,inflammatory,factor,cell,cytokine,macrophage,inflammation,increase,effect
158,pubmed,pain,disorder,symptom,depression,anxiety,patient,chronic,depressive,study,psychiatric
159,pubmed,embryo,sperm,ovarian,oocyte,cycle,reproductive,rate,stage,testicular,follicle
160,pubmed,cardiac,heart,ventricular,patient,myocardial,failure,valve,atrial,left,leave
161,pubmed,dna,methylation,damage,repair,chromosome,histone,cell,gene,replication,promoter
162,pubmed,tumor,cell,carcinoma,expression,cancer,tissue,tumour,malignant,invasion,growth
163,pubmed,strain,isolate,bacterium,bacterial,coli,gene,type,escherichia,biofilm,species
164,pubmed,antibody,assay,detection,method,probe,detect,protein,specific,fluorescence,target
165,pubmed,patient,diagnosis,diagnostic,lesion,sensitivity,result,biopsy,specificity,finding,clinical
166,pubmed,patient,transplantation,transplant,donor,recipient,chemotherapy,response,leukemia,acute,survival
167,pubmed,food,intake,diet,dietary,vitamin,feed,smoking,consumption,supplementation,effect
168,pubmed,method,sample,mass,analysis,spectrometry,liquid,extraction,determination,detection,chromatography
169,pubmed,cell,stem,culture,human,differentiation,tissue,proliferation,adhesion,growth,vitro
170,pubmed,image,imaging,volume,magnetic,mri,resonance,method,tomography,contrast,measurement
171,pubmed,bone,fracture,density,cartilage,collagen,formation,defect,mineral,osteoporosis,marrow
172,pubmed,stress,oxidative,mitochondrial,activity,antioxidant,oxygen,increase,reactive,enzyme,species
173,pubmed,gene,expression,protein,rna,transcription,factor,regulate,promoter,target,regulation
174,pubmed,gastric,dose,radiation,patient,pancreatic,treatment,radiotherapy,cancer,neck,head
175,pubmed,eye,visual,retinal,corneal,lens,ocular,purpose,result,acuity,patient
176,pubmed,protein,binding,domain,structure,peptide,site,residue,interaction,acid,structural
177,pubmed,mutation,gene,genetic,polymorphism,genotype,allele,association,study,variant,population
178,pubmed,woman,pregnancy,infant,birth,maternal,fetal,neonatal,mother,week,delivery
179,pubmed,patient,surgery,surgical,complication,postoperative,procedure,result,undergo,perform,case
180,pubmed,knee,joint,degree,fracture,hip,tendon,pain,foot,anterior,lateral
181,pubmed,patient,treatment,management,clinical,drug,medication,guideline,therapy,risk,review
182,pubmed,injury,brain,spinal,cord,cerebral,trauma,matter,white,follow,ischemium
183,pubmed,patient,syndrome,case,disease,clinical,report,present,severe,symptom,disorder
184,pubmed,nerve,stimulation,response,activity,neuron,frequency,sensory,motor,potential,change
185,pubmed,plant,leaf,seed,root,growth,arabidopsis,rice,wheat,fruit,stress
186,pubmed,surface,film,nanoparticle,carbon,layer,electrode,sensor,nanotube,substrate,gold
187,pubmed,activity,compound,inhibitor,extract,inhibition,show,vitro,effect,acid,derivative
188,pubmed,gene,expression,analysis,protein,identify,express,sequence,mrna,profile,genome
189,pubmed,species,sequence,evolution,population,analysis,phylogenetic,diversity,genetic,genome,region
190,pubmed,protein,membrane,cell,fusion,function,complex,show,localization,activity,cellular
191,pubmed,blood,pressure,flow,increase,respiratory,oxygen,rate,ventilation,change,transfusion
192,pubmed,light,laser,optical,spectrum,pulse,field,intensity,mode,frequency,band
193,pubmed,reaction,complex,synthesis,ligand,bond,structure,compound,form,formation,group
194,pubmed,channel,ca(,calcium,current,cell,increase,effect,release,muscle,intracellular
195,pubmed,cell,apoptosis,line,expression,effect,induce,death,human,proliferation,cancer
196,pubmed,alcohol,sexual,drug,abuse,woman,sex,report,substance,partner,behavior
197,pubmed,child,age,adult,young,pediatric,adolescent,childhood,older,study,parent
198,pubmed,care,practice,patient,nurse,student,medical,study,physician,program,training
199,pubmed,transport,uptake,transporter,increase,effect,hypoxium,cell,barrier,study,decrease
200,pubmed,implant,technique,device,procedure,method,placement,tube,place,catheter,position
201,pubmed,disease,review,development,recent,clinical,target,therapeutic,therapy,drug,potential
202,pubmed,rat,effect,animal,treatment,model,increase,administration,mg/kg,injection,induce
203,pubmed,score,quality,scale,measure,assess,assessment,study,questionnaire,test,result
204,pubmed,concentration,plasma,dog,fluid,blood,serum,human,study,cat,sodium
205,pubmed,patient,acute,mortality,stroke,hospital,outcome,event,admission,risk,death
206,pubmed,rate,population,prevalence,study,incidence,datum,increase,mortality,age,death
207,pubmed,dose,iron,study,pharmacokinetic,drug,concentration,administration,oral,plasma,2010
208,pubmed,case,report,lesion,present,rare,diagnosis,lymphoma,mass,cyst,reveal
209,pubmed,system,cost,datum,tool,analysis,provide,design,technology,develop,information
210,pubmed,treatment,patient,trial,therapy,study,month,week,efficacy,effect,receive
211,pubmed,phase,solution,water,surface,adsorption,form,study,temperature,structure,formation
212,pubmed,polymer,release,property,scaffold,particle,nanoparticle,material,delivery,show,surface
213,pubmed,correlation,analysis,sleep,index,correlate,predict,significant,study,variable,curve
214,pubmed,sample,test,screening,positive,testing,pcr,milk,screen,cow,result
215,pubmed,response,task,stimulus,effect,visual,condition,participant,processing,experiment,movement
216,pubmed,patient,survival,disease,outcome,clinical,factor,analysis,month,follow-up,stage
217,pubmed,skin,drug,platelet,wound,delivery,formulation,study,result,topical,healing
218,pubmed,memory,cognitive,brain,cortex,region,functional,performance,task,area,study
219,pubmed,level,patient,serum,control,healthy,blood,higher,significantly,marker,subject
220,pubmed,muscle,exercise,activity,training,physical,increase,test,force,strength,performance
221,pubmed,method,datum,algorithm,analysis,approach,network,set,base,propose,result
222,pubmed,degree,temperature,production,condition,rate,process,increase,concentration,removal,acid
223,pubmed,female,male,population,species,egg,selection,host,larva,effect,insect
224,pubmed,social,study,adolescent,relationship,health,behavior,factor,family,examine,school
225,pubmed,process,mechanism,role,network,function,interaction,system,change,complex,control
226,pubmed,model,datum,estimate,method,predict,parameter,result,base,rate,simulation
227,pubmed,exposure,concentration,water,soil,metal,study,environmental,level,sample,air
